Nom,Prénom,Mail,Né(e) le,Téléphone,Sexe,Classe,Projet d'accompagnement,Allergies,Régime,Sport,Club,Formation,Groupes,Toutes les options,Redoublement,Moyenne Générale
ABBAD,Chaima,abbad.chaima@gmail.com,6/4/2004,0736061000,Féminin,,,Kiwi,Externe,Football,Magie,2CAP2  COMMER.SERV.HOTEL-CAFE-RESTAURANT,,ANGLAIS LV1,FAUX,"16,98"
ABD EL NABI,Hazem,abd el nabi.hazem@outlook.com,5/5/2002,0775456577,Masculin,,,Poisson,Externe,Football,Théâtre,2NDPRO METIERS ELECT. ENVIRON. CONNECTES,,ANGLAIS LV1,FAUX,"11,24"
ABDELOUAHED,Noureddine,abdelouahed.noureddine@gmail.com,28/1/2004,0699645198,Masculin,,,Poisson,Externe,Tennis,Théâtre,,,ANGLAIS LV1,FAUX,"16,04"
ABED,Yannis,abed.yannis@orange.fr,11/11/2000,0621047027,Masculin,,,,Demi-pensionnaire,Tennis,Natation,TLEPRO VENTE (PROSPECT.NEGO.SUIV.CLIENT),Musculation Tle G1 R,"ANGLAIS LV1, ESPAGNOL LV2",FAUX,"12,79"
ABIDOGOUN,Alexandre,abidogoun.alexandre@free.fr,3/9/2000,0640677942,Masculin,,,Fruits à coque,Externe,Basketball,Peinture,2NDPRO MET. RELATION CLIENT 2NDE COMMUNE,"2MCV1FRANCA, 2MCV1MATHS, 2MCV1VENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"17,95"
ABOUE,Dylan,aboue.dylan@gmail.com,2/4/2001,0790299144,Masculin,,,,Demi-pensionnaire,Natation,Robotique,,,ANGLAIS LV1,FAUX,"11,68"
ABOULRAS,M'bark,aboulras.m'bark@orange.fr,24/5/2000,0759564042,Masculin,1BRA,,,Externe,Natation,Théâtre,1ERPRO CUISINE,,ANGLAIS LV1,FAUX,"13,31"
ABUNIAWAN,Lance,abuniawan.lance@orange.fr,21/5/2000,0673451461,Masculin,2BR1,,Lactose,Demi-pensionnaire,Karaté,Cinéma,2NDPRO CUISINE,"2BR1APS CU, 2BR1FRANCA, 2BR1MATHS_1, 2BR1MATHS_1_1, 2BR1MATHS_2",ANGLAIS LV1,FAUX,"12,71"
ACHIBANE,Yassine,achibane.yassine@gmail.com,4/6/2001,063208254,Masculin,,,Kiwi,Demi-pensionnaire,Basketball,Cinéma,,,"ANGLAIS LV1, ESPAGNOL LV2",FAUX,"13,33"
ADELAIDE,Grégoire,adelaide.grégoire@free.fr,13/5/1999,0654664747,Masculin,TBRS,,Poisson,Demi-pensionnaire,Gymnastique,Théâtre,TLEPRE EUROP.COMM.ET SERV.EN RESTAU,"TBRSACCPE, TBRSMATHS","ANGLAIS LV1, ANGLAIS SECTION EURO",FAUX,"12,76"
ADENET,Dany-Dann,adenet.dany-dann@orange.fr,21/8/2003,0781621313,Masculin,TMELEC,,Fruits à coque,Demi-pensionnaire,Karaté,Peinture,TLEPRO METIERS ELECT. ENVIRON. CONNECTES,"TMELECCONSTR, TMELECMATHS",ANGLAIS LV1,FAUX,"16,84"
ADJOVI,Nadir,adjovi.nadir@gmail.com,7/10/1999,072334727,Masculin,,,Oeuf,Demi-pensionnaire,Basketball,Actualité,,,ANGLAIS LV1,FAUX,"12,07"
AFZAA,Abdellah,afzaa.abdellah@orange.fr,16/1/2003,0745071795,Masculin,,,,Externe,Tennis,Art,,,"ANGLAIS LV1, ESPAGNOL LV2",FAUX,"15,69"
AGHA-KASSAB,Angéla,agha-kassab.angéla@outlook.com,9/11/2003,0738171133,Féminin,,,,Demi-pensionnaire,Natation,Art,,,"ANGLAIS LV1, ESPAGNOL LV2",FAUX,"14,18"
AGUERA,Alane,aguera.alane@outlook.com,6/7/2004,0672800041,Masculin,TBC,,Kiwi,Demi-pensionnaire,Tennis,Magie,TLEPRE EUROPEEN COMMERCE,"Musculation Tle G1 L, TBCMATHS, TBCVENTP","ANGLAIS LV1, ESPAGNOL LV2, ANGLAIS SECTION EURO",FAUX,"12,37"
AHMADY,Rahmkhoda,ahmady.rahmkhoda@yahoo.fr,16/10/2000,0667162860,Masculin,,,Kiwi,Externe,Natation,Art,,,ANGLAIS LV1,FAUX,"14,07"
AHMED,Chaima,ahmed.chaima@free.fr,17/12/2001,0721673657,Féminin,TCAPC,,Lactose,Demi-pensionnaire,Natation,Art,2CAP2  CUISINE,,ANGLAIS LV1,FAUX,"14,83"
